职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
打字日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
模流分析工程师,1.5-2.5万·13薪,UG,5-10年,大专,中山·南朗街道,中山吉锐精密模具科技有限公司,"20-99人
         
          汽车零部件"
急聘CNC/数控操作,7000-9000元,FAGOR数控系统,1-3年,学历不限,新乡·原阳县·福宁集镇,河南威尔机械制造有限公司,"20-99人
         
          金属制品业"
商品运营专家,面议,,3-5年,本科,北京·朝阳·大屯,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
超市配送日结，250–330元，提供电动车，无经验可+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,新人奖,经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
711便利店+社保+店员,4000-5000元,便利店,1年以下,高中,武汉·洪山·关山,广东爱才人力资源有限公司,"民营
         
          300-499人
         
          人力资源服务"
EHS工程师-base大连,1.5-3万·15薪,安全管理,5-10年,本科,芜湖·鸠江区·官陡街道,外企德科人力资源服务安徽有限公司,"合资
         
          1000-9999人
         
          咨询服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,金华·义乌市·福田街道,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
日结工便利店有空就跑,350-500元,公司提供车,经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,宜昌·西陵区·西陵街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
自由灵活日结，0押金0租金,9000-10000元,C1司机,3-5年,学历不限,福州·仓山·盖山,四川聚量达科技有限公司,"20-99人
         
          租赁服务"
当天安排！日结300–500，下班就拿钱，时间自由。,1-1.5万·13薪,新人奖,经验不限,学历不限,深圳·龙岗·西乡,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
QC主管,8000-13000元·15薪,药品QC,3-5年,本科,台州·仙居县·福应街道,浙江伟德杰生物科技有限公司,"合资
         
          20-99人
         
          科学技术推广"
朝九晚五配车底薪6000+,6000-7000元,公司提供电车,3-5年,学历不限,荆门·东宝区·泉口街道,武汉驭达星科技有限公司,"20人以下
         
          租赁服务"
会计,2000-4000元,,3-5年,本科,鸡西·虎林市·虎林镇,珍宝岛,"民营
         
          1000-9999人
         
          医药制造"
【日结】诸城爱琴海/广场路必胜客招募兼职服务员(过年供班就近安排)J14485,1500-3000元,西餐厅,经验不限,学历不限,潍坊·诸城·舜王,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
资产评估,4000-5000元,设备评估,1-3年,大专,廊坊·广阳区·爱民东道街道,廊坊华安达会计师事务所有限公司,"民营
         
          20-99人
         
          财务/审计/税务"
公司直招货车司机不装卸,7000-12000元,3米8货车,经验不限,学历不限,太原·晋源·义井,太原启航物流服务有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
超市配送，45–60单/天，难度低，有师傅带，18–50岁+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·越秀·六榕,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
艺术品客户经理,6000-12000元,个人客户,1-3年,学历不限,成都·武侯·石羊,成都梵承拍卖有限公司,"社会团体
         
          20-99人
         
          文化艺术/娱乐"
